customer_id,age,annual_income,credit_score,loan_amount,existing_loans,region,employment_status,gender,marital_status,application_date,default_flag
101356,37.0,652929.1,646.0,492934.78,4,West,Employed,M,Widowed,2024-05-10,0
100984,51.0,711342.75,859.0,579397.63,4,West,Unemployed,male,Married,2023-12-26,0
100859,63.0,865132.43,750.0,481401.45,0,West,Self-Employed,male,Widowed,11/10/2023,0
101984,54.0,838715.47,718.0,384506.74,2,Central,Self-Employed,female,Widowed,2024-12-25,0
101293,18.0,55677.38,402.0,364197.44,2,East,Unemployed,Female,Single,17/04/2024,0
101469,21.0,404224.52,678.0,593075.54,4,East,Retired,M,Married,20/06/2024,1
101210,53.0,776932.11,687.0,406994.03,2,North,Retired,Male,Divorced,17-Mar-2024,0
100367,36.0,752992.9,468.0,43291.91,0,Central,Unemployed,M,Widowed,05/15/2023,0
101703,29.0,822765.64,892.0,101818.63,4,South,Employed,MALE ,Widowed,09/13/2024,0
101383,69.0,812885.16,877.0,644178.1,1,South,Self-Employed,Male,Widowed,05/20/2024,0
101787,23.0,919752.41,383.0,199681.47,3,Central,Unemployed,Male,Divorced,10/14/2024,0
100251,46.0,351160.26,889.0,249502.39,0,East,Self-Employed,M,Single,04/02/2023,0
100471,63.0,338170.63,875.0,287195.69,1,North,Employed,FEMALE,Widowed,06/22/2023,0
100382,72.0,622713.71,888.0,260016.17,3,North,,FEMALE,Single,20-May-2023,0
101908,20.0,89293.09,582.0,551366.79,1,South,Self-Employed,MALE ,Married,2024-11-27,0
100618,21.0,244771.62,719.0,496622.25,1,Central,Self-Employed,male,Divorced,14-Aug-2023,0
101091,43.0,499320.16,759.0,392091.79,3,East,Unemployed,F,Single,02/03/2024,0
101402,35.0,847226.97,432.0,387940.24,0,East,Employed,Female,Divorced,26-May-2024,0
101137,38.0,580080.79,432.0,297170.26,2,North,Employed,FEMALE,Single,20/02/2024,0
101601,60.0,197595.76,563.0,219397.46,4,South,Employed,F,Single,07/08/2024,0
100583,20.0,258235.44,543.0,221901.53,1,North,Unemployed,M,Divorced,08/01/2023,0
100925,71.0,365769.35,754.0,350110.5,2,North,Unemployed,FEMALE,Married,04/12/2023,1
100065,36.0,524909.73,409.0,470454.51,0,West,Self-Employed,female,Divorced,24/01/2023,0
100923,26.0,906128.17,730.0,412976.62,0,East,Unemployed,FEMALE,Divorced,12/04/2023,0
100321,24.0,1150877.35,532.0,530166.33,0,Central,Employed,female,Widowed,28/04/2023,0
100305,25.0,556263.83,818.0,475121.97,3,West,Unemployed,FEMALE,Single,22/04/2023,0
101541,31.0,876314.85,394.0,612541.66,1,West,Employed,Male,Married,16/07/2024,0
101771,39.0,1264560.9,430.0,785548.3,3,West,Retired,FEMALE,Divorced,10/08/2024,0
101401,31.0,429200.09,884.0,97263.39,2,Central,Employed,FEMALE,Widowed,26/05/2024,0
100432,65.0,297545.14,607.0,531348.33,4,West,Employed,F,Single,2023-06-07,0
100694,23.0,374966.11,589.0,-71549.95,1,West,Self-Employed,F,Divorced,11-Sep-2023,1
