row_index,column,issue_type
152,age,missing_value
187,age,missing_value
297,age,missing_value
302,age,missing_value
334,age,missing_value
404,age,missing_value
457,age,missing_value
477,age,missing_value
490,age,missing_value
504,age,missing_value
519,age,missing_value
592,age,missing_value
660,age,missing_value
731,age,missing_value
747,age,missing_value
773,age,missing_value
793,age,missing_value
802,age,missing_value
877,age,missing_value
909,age,missing_value
976,age,missing_value
991,age,missing_value
1027,age,missing_value
1095,age,missing_value
1098,age,missing_value
1134,age,missing_value
1181,age,missing_value
1260,age,missing_value
1335,age,missing_value
1347,age,missing_value
1390,age,missing_value
1414,age,missing_value
1446,age,missing_value
1472,age,missing_value
1515,age,missing_value
1741,age,missing_value
1882,age,missing_value
1912,age,missing_value
1924,age,missing_value
1945,age,missing_value
1963,age,missing_value
66,annual_income,missing_value
95,annual_income,missing_value
102,annual_income,missing_value
105,annual_income,missing_value
121,annual_income,missing_value
128,annual_income,missing_value
189,annual_income,missing_value
190,annual_income,missing_value
207,annual_income,missing_value
235,annual_income,missing_value
261,annual_income,missing_value
279,annual_income,missing_value
285,annual_income,missing_value
294,annual_income,missing_value
301,annual_income,missing_value
344,annual_income,missing_value
345,annual_income,missing_value
347,annual_income,missing_value
357,annual_income,missing_value
368,annual_income,missing_value
383,annual_income,missing_value
403,annual_income,missing_value
416,annual_income,missing_value
451,annual_income,missing_value
472,annual_income,missing_value
485,annual_income,missing_value
490,annual_income,missing_value
497,annual_income,missing_value
500,annual_income,missing_value
501,annual_income,missing_value
559,annual_income,missing_value
565,annual_income,missing_value
579,annual_income,missing_value
592,annual_income,missing_value
593,annual_income,missing_value
615,annual_income,missing_value
621,annual_income,missing_value
644,annual_income,missing_value
676,annual_income,missing_value
686,annual_income,missing_value
694,annual_income,missing_value
708,annual_income,missing_value
727,annual_income,missing_value
755,annual_income,missing_value
756,annual_income,missing_value
788,annual_income,missing_value
805,annual_income,missing_value
819,annual_income,missing_value
824,annual_income,missing_value
844,annual_income,missing_value
46,credit_score,missing_value
65,credit_score,missing_value
69,credit_score,missing_value
71,credit_score,missing_value
108,credit_score,missing_value
120,credit_score,missing_value
149,credit_score,missing_value
169,credit_score,missing_value
234,credit_score,missing_value
346,credit_score,missing_value
348,credit_score,missing_value
410,credit_score,missing_value
413,credit_score,missing_value
471,credit_score,missing_value
474,credit_score,missing_value
522,credit_score,missing_value
535,credit_score,missing_value
557,credit_score,missing_value
588,credit_score,missing_value
615,credit_score,missing_value
647,credit_score,missing_value
660,credit_score,missing_value
667,credit_score,missing_value
668,credit_score,missing_value
699,credit_score,missing_value
719,credit_score,missing_value
724,credit_score,missing_value
757,credit_score,missing_value
765,credit_score,missing_value
799,credit_score,missing_value
817,credit_score,missing_value
848,credit_score,missing_value
853,credit_score,missing_value
866,credit_score,missing_value
873,credit_score,missing_value
884,credit_score,missing_value
899,credit_score,missing_value
906,credit_score,missing_value
938,credit_score,missing_value
974,credit_score,missing_value
986,credit_score,missing_value
1009,credit_score,missing_value
1034,credit_score,missing_value
1047,credit_score,missing_value
1054,credit_score,missing_value
1083,credit_score,missing_value
1093,credit_score,missing_value
1102,credit_score,missing_value
1124,credit_score,missing_value
1172,credit_score,missing_value
13,employment_status,missing_value
36,employment_status,missing_value
38,employment_status,missing_value
43,employment_status,missing_value
53,employment_status,missing_value
96,employment_status,missing_value
117,employment_status,missing_value
239,employment_status,missing_value
246,employment_status,missing_value
325,employment_status,missing_value
379,employment_status,missing_value
475,employment_status,missing_value
480,employment_status,missing_value
492,employment_status,missing_value
557,employment_status,missing_value
566,employment_status,missing_value
575,employment_status,missing_value
624,employment_status,missing_value
652,employment_status,missing_value
665,employment_status,missing_value
671,employment_status,missing_value
675,employment_status,missing_value
716,employment_status,missing_value
748,employment_status,missing_value
755,employment_status,missing_value
788,employment_status,missing_value
820,employment_status,missing_value
821,employment_status,missing_value
846,employment_status,missing_value
860,employment_status,missing_value
887,employment_status,missing_value
908,employment_status,missing_value
955,employment_status,missing_value
961,employment_status,missing_value
1065,employment_status,missing_value
1109,employment_status,missing_value
1113,employment_status,missing_value
1190,employment_status,missing_value
1237,employment_status,missing_value
1258,employment_status,missing_value
1290,employment_status,missing_value
1292,employment_status,missing_value
1294,employment_status,missing_value
1424,employment_status,missing_value
1425,employment_status,missing_value
1569,employment_status,missing_value
1596,employment_status,missing_value
1597,employment_status,missing_value
1610,employment_status,missing_value
1622,employment_status,missing_value
14,customer_id,duplicate_key
91,customer_id,duplicate_key
97,customer_id,duplicate_key
159,customer_id,duplicate_key
205,customer_id,duplicate_key
216,customer_id,duplicate_key
238,customer_id,duplicate_key
258,customer_id,duplicate_key
286,customer_id,duplicate_key
315,customer_id,duplicate_key
317,customer_id,duplicate_key
356,customer_id,duplicate_key
374,customer_id,duplicate_key
452,customer_id,duplicate_key
466,customer_id,duplicate_key
524,customer_id,duplicate_key
572,customer_id,duplicate_key
590,customer_id,duplicate_key
611,customer_id,duplicate_key
630,customer_id,duplicate_key
634,customer_id,duplicate_key
658,customer_id,duplicate_key
688,customer_id,duplicate_key
692,customer_id,duplicate_key
723,customer_id,duplicate_key
773,customer_id,duplicate_key
775,customer_id,duplicate_key
781,customer_id,duplicate_key
820,customer_id,duplicate_key
852,customer_id,duplicate_key
860,customer_id,duplicate_key
1046,customer_id,duplicate_key
1098,customer_id,duplicate_key
1113,customer_id,duplicate_key
1123,customer_id,duplicate_key
1128,customer_id,duplicate_key
1161,customer_id,duplicate_key
1185,customer_id,duplicate_key
1218,customer_id,duplicate_key
1340,customer_id,duplicate_key
1382,customer_id,duplicate_key
1385,customer_id,duplicate_key
1447,customer_id,duplicate_key
1476,customer_id,duplicate_key
1520,customer_id,duplicate_key
1541,customer_id,duplicate_key
1548,customer_id,duplicate_key
1549,customer_id,duplicate_key
1601,customer_id,duplicate_key
1604,customer_id,duplicate_key
50,age,invalid_value
348,age,invalid_value
377,age,invalid_value
424,age,invalid_value
584,age,invalid_value
647,age,invalid_value
691,age,invalid_value
903,age,invalid_value
995,age,invalid_value
1410,age,invalid_value
1711,age,invalid_value
1770,age,invalid_value
1865,age,invalid_value
1921,age,invalid_value
1990,age,invalid_value
47,annual_income,invalid_value
78,annual_income,invalid_value
196,annual_income,invalid_value
204,annual_income,invalid_value
208,annual_income,invalid_value
252,annual_income,invalid_value
358,annual_income,invalid_value
386,annual_income,invalid_value
623,annual_income,invalid_value
752,annual_income,invalid_value
950,annual_income,invalid_value
1009,annual_income,invalid_value
1022,annual_income,invalid_value
1103,annual_income,invalid_value
1117,annual_income,invalid_value
1274,annual_income,invalid_value
1468,annual_income,invalid_value
1483,annual_income,invalid_value
1547,annual_income,invalid_value
1685,annual_income,invalid_value
1954,annual_income,invalid_value
2003,annual_income,invalid_value
73,credit_score,invalid_value
165,credit_score,invalid_value
190,credit_score,invalid_value
255,credit_score,invalid_value
304,credit_score,invalid_value
418,credit_score,invalid_value
790,credit_score,invalid_value
882,credit_score,invalid_value
934,credit_score,invalid_value
939,credit_score,invalid_value
1109,credit_score,invalid_value
1129,credit_score,invalid_value
1234,credit_score,invalid_value
1715,credit_score,invalid_value
1918,credit_score,invalid_value
30,loan_amount,invalid_value
460,loan_amount,invalid_value
592,loan_amount,invalid_value
940,loan_amount,invalid_value
1093,loan_amount,invalid_value
1256,loan_amount,invalid_value
1375,loan_amount,invalid_value
1410,loan_amount,invalid_value
1483,loan_amount,invalid_value
1531,loan_amount,invalid_value
1566,loan_amount,invalid_value
2009,loan_amount,invalid_value
